iid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100421803,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0
100421908,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0
100422130,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100422290,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0
100422532,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0
100422597,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0
100422612,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
100423035,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,4.0,5.0,6.0
100423109,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0
100423555,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0,4.0,5.0
100424372,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100425731,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,1.0,2.0,1.0
100426257,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0
100426267,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,1.0
100427684,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100427905,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0
100428228,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0
100428263,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100428317,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0
100428357,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100428407,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,1.0,1.0,1.0
100428495,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0
100428666,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,1.0,1.0
100428870,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,1.0
100428989,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0
100429079,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0
100429467,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0
100429531,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
100429726,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0
100429858,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0
100429903,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0
100430032,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
100430077,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0
100430107,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0
100430132,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
100430182,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
100430400,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0
100430469,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0
100430509,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,1.0,1.0
